add-yield-none,1,10,20,91649,4582,0
add-yield-none,1,20,40,92432,2310,0
add-yield-none,1,40,80,115398,1442,0
add-yield-none,1,80,160,153555,959,0
add-yield-none,1,100,200,214889,1074,0
add-yield-none,1,1000,2000,1353216,676,0
add-yield-none,1,10000,20000,12431348,621,0
add-yield-none,1,100000,200000,123215226,616,0
add-none,1,100,200,63291,316,0
add-none,1,1000,2000,100647,50,0
add-none,1,10000,20000,232857,11,0
add-none,1,100000,200000,1534970,7,0
add-yield-m,1,10000,20000,12799912,639,0
add-yield-s,1,1000,2000,1299195,649,0
add-yield-c,1,1000,2000,1316749,658,0
add-m,1,10000,20000,452801,22,0
add-s,1,10000,20000,238964,11,0
add-c,1,10000,20000,485110,24,0
add-yield-none,2,10,40,93527,2338,0
add-yield-none,2,20,80,106838,1335,0
add-yield-none,2,40,160,161600,1010,1
add-yield-none,2,80,320,223789,699,0
add-yield-none,2,100,400,257189,642,0
add-yield-none,2,1000,4000,1526793,381,1
add-yield-none,2,10000,40000,14155044,353,28
add-yield-none,2,100000,400000,138536613,346,5
add-none,2,100,400,106841,267,0
add-none,2,1000,4000,109455,27,0
add-none,2,10000,40000,533688,13,44
add-none,2,100000,400000,4034858,10,262
add-yield-m,2,10000,40000,40543741,1013,0
add-yield-s,2,1000,4000,3019194,754,0
add-yield-c,2,1000,4000,2950619,737,0
add-m,2,10000,40000,2779686,69,0
add-s,2,10000,40000,2219953,55,0
add-c,2,10000,40000,1955531,48,0
add-yield-none,4,10,80,143928,1799,0
add-yield-none,4,20,160,157841,986,0
add-yield-none,4,40,320,194973,609,1
add-yield-none,4,80,640,267738,418,1
add-yield-none,4,100,800,298505,373,0
add-yield-none,4,1000,8000,1870204,233,1
add-yield-none,4,10000,80000,17771297,222,1
add-yield-none,4,100000,800000,148744534,185,2
add-none,4,100,800,127456,159,0
add-none,4,1000,8000,144058,18,2
add-none,4,10000,80000,1092818,13,49
add-none,4,100000,800000,10816560,13,434
add-yield-m,4,10000,80000,94708335,1183,0
add-yield-s,4,1000,8000,6376915,797,0
add-yield-c,4,1000,8000,5478919,684,0
add-m,4,10000,80000,8477403,105,0
add-s,4,10000,80000,12394422,154,0
add-c,4,10000,80000,6555181,81,0
add-yield-none,8,10,160,322419,2015,0
add-yield-none,8,20,320,296444,926,2
add-yield-none,8,40,640,301874,471,2
add-yield-none,8,80,1280,411567,321,1
add-yield-none,8,100,1600,425206,265,1
add-yield-none,8,1000,16000,2058703,128,2
add-yield-none,8,10000,160000,18640914,116,3
add-yield-none,8,100000,1600000,178304058,111,2
add-none,8,100,1600,289236,180,0
add-none,8,1000,16000,284559,17,16
add-none,8,10000,160000,2176454,13,22
add-none,8,100000,1600000,21341821,13,576
add-yield-m,8,10000,160000,1255540249,7847,0
add-yield-s,8,1000,16000,26760279,1672,0
add-yield-c,8,1000,16000,13452593,840,0
add-m,8,10000,160000,23387516,146,0
add-s,8,10000,160000,36099852,225,0
add-c,8,10000,160000,14355556,89,0
add-yield-none,12,10,240,494786,2061,3
add-yield-none,12,20,480,626064,1304,0
add-yield-none,12,40,960,1247025,1298,1
add-yield-none,12,80,1920,2059279,1072,1
add-yield-none,12,100,2400,2591537,1079,1
add-yield-none,12,1000,24000,4983248,207,3
add-yield-none,12,10000,240000,30941216,128,3
add-yield-none,12,100000,2400000,222908509,92,33
add-none,12,100,2400,415015,172,0
add-none,12,1000,24000,447696,18,18
add-none,12,10000,240000,3449448,14,154
add-none,12,100000,2400000,34486336,14,4381
add-yield-m,12,10000,240000,536314802,2234,0
add-yield-s,12,1000,24000,36725737,1530,0
add-yield-c,12,1000,24000,17002491,708,0
add-m,12,10000,240000,32782126,136,0
add-s,12,10000,240000,73684501,307,0
add-c,12,10000,240000,20830560,86,0
